indicator,capacity,cycle,time
1,0.96,0.025974026,1
1;0,93;0,038961039;0,6667
1;0,94;0,051948052;0,4445
1;0,93;0,064935065;0,6667
1;0,9;0,077922078;0,6667
1;0,88;0,090909091;0,4445
1;0,87;0,103896104;0,3334
1;0,86;0,155844156;0,4445
1;0,83;0,181818182;0,2222
1;0,83;0,194805195;0,2222
1;0,82;0,207792208;0,2222
1;0,83;0,233766234;0,2222
1;0,81;0,25974026;0,3334
2;0,79;0,324675325;0,2222
2;0,8;0,415584416;0,2222
2;0,8;0,428571429;0,2222
2;0,8;0,441558442;0,2222
2;0,8;0,454545455;0,2222
2;0,8;0,467532468;0,2222
2;0,8;0,480519481;0,2222
2;0,8;0,493506494;0,2222
2;0,79;0,506493506;0,2222
2;0,79;0,519480519;0,2222
2;0,79;0,532467532;0,2222
2;0,79;0,545454545;0,2222
2;0,79;0,558441558;0,2222
2;0,79;0,571428571;0,2222
2;0,79;0,584415584;0,2222
2;0,79;0,597402597;0,2222
2;0,8;0,675324675;0,0001
2;0,78;0,714285714;0,0001
2;0,78;0,727272727;0,0001
2;0,78;0,74025974;0,0001
2;0,78;0,792207792;0,0001
2;0,77;0,805194805;0,0001
2;0,77;0,818181818;0,0001
2;0,77;0,831168831;0,0001
2;0,77;0,844155844;0,0001
2;0,79;0,857142857;0,0001
2;0,76;0,87012987;0,0001
2;0,72;0,987012987;0,0001
2;0,72;1;0,0001
